,T,p,p_rgh,Ux,Uy,Ux
407,293.116,100143.0,143.499,-0.0131051,-0.00214523,0.0
408,293.115,100143.0,143.499,-0.0123956,-0.00169521,0.0
409,293.115,100143.0,143.499,-0.0117809,-0.00135435,0.0
410,293.115,100143.0,143.499,-0.0112524,-0.00109385,0.0
411,293.115,100143.0,143.499,-0.0107994,-0.000892079,0.0
412,293.115,100143.0,143.499,-0.0104116,-0.000733488,0.0
413,293.115,100143.0,143.499,-0.0100796,-0.000607015,0.0
414,293.115,100143.0,143.499,-0.0097955,-0.000504748,0.0
415,293.115,100143.0,143.499,-0.00955245,-0.00042097,0.0
416,293.115,100143.0,143.499,-0.00934474,-0.000351503,0.0
417,293.115,100143.0,143.499,-0.00916759,-0.000293252,0.0
418,293.115,100143.0,143.499,-0.00901701,-0.000243892,0.0
419,293.115,100143.0,143.499,-0.00888967,-0.000201654,0.0
420,293.115,100143.0,143.499,-0.00878275,-0.000165176,0.0
421,293.115,100143.0,143.499,-0.0086939,-0.000133396,0.0
422,293.115,100143.0,143.499,-0.00862114,-0.000105478,0.0
423,293.115,100143.0,143.499,-0.00856277,-8.07503e-05,0.0
424,293.115,100143.0,143.499,-0.00851736,-5.8663e-05,0.0
