,T,p,p_rgh,Ux,Uy,Ux
317,291.439,100144.0,143.758,-0.034886,-0.00313015,0.0
318,291.396,100144.0,143.758,-0.0328528,-0.00278607,0.0
319,291.362,100144.0,143.758,-0.0311648,-0.00234298,0.0
320,291.338,100144.0,143.758,-0.0298738,-0.00183069,0.0
321,291.32,100144.0,143.758,-0.029025,-0.00128397,0.0
322,291.307,100144.0,143.758,-0.0286728,-0.000708489,0.0
323,291.296,100144.0,143.758,-0.028959,-7.52897e-05,0.0
324,291.284,100144.0,143.758,-0.0300086,0.000589048,0.0
325,291.269,100144.0,143.758,-0.0317444,0.0012234,0.0
326,291.248,100144.0,143.758,-0.0341364,0.00176309,0.0
327,291.218,100144.0,143.758,-0.0371142,0.00217117,0.0
328,291.175,100144.0,143.758,-0.0405945,0.00244419,0.0
329,291.121,100144.0,143.758,-0.0444815,0.00261758,0.0
330,291.056,100144.0,143.758,-0.0486789,0.00275086,0.0
331,290.986,100144.0,143.758,-0.0530858,0.00289709,0.0
332,290.914,100144.0,143.758,-0.0575919,0.00307816,0.0
333,290.844,100144.0,143.758,-0.0620818,0.00327786,0.0
334,290.779,100144.0,143.759,-0.0664494,0.00345435,0.0
335,290.72,100144.0,143.759,-0.0706099,0.00356206,0.0
336,290.666,100144.0,143.759,-0.0745037,0.00356942,0.0
337,290.618,100144.0,143.759,-0.0780917,0.00346569,0.0
338,290.576,100144.0,143.759,-0.0813493,0.0032591,0.0
339,290.541,100144.0,143.759,-0.0842606,0.0029707,0.0
340,290.513,100144.0,143.759,-0.0868185,0.00262761,0.0
341,290.491,100144.0,143.759,-0.0890248,0.00225746,0.0
342,290.474,100144.0,143.759,-0.0908919,0.00188495,0.0
343,290.462,100144.0,143.759,-0.0924422,0.00153067,0.0
344,290.453,100144.0,143.759,-0.0937082,0.00121079,0.0
345,290.447,100144.0,143.759,-0.0947298,0.0009374,0.0
346,290.443,100144.0,143.759,-0.095553,0.000718913,0.0
347,290.439,100144.0,143.759,-0.0962266,0.000560648,0.0
348,290.435,100144.0,143.759,-0.0968011,0.000465334,0.0
349,290.432,100144.0,143.759,-0.0973259,0.000433585,0.0
350,290.428,100144.0,143.759,-0.097848,0.000464456,0.0
351,290.425,100144.0,143.759,-0.0984108,0.000556212,0.0
352,290.421,100144.0,143.759,-0.0990561,0.000706542,0.0
353,290.417,100144.0,143.759,-0.0998215,0.000911644,0.0
354,290.413,100144.0,143.759,-0.100738,0.00116684,0.0
355,290.409,100144.0,143.759,-0.101834,0.00146674,0.0
356,290.404,100144.0,143.759,-0.10313,0.0018053,0.0
357,290.4,100144.0,143.759,-0.104642,0.00217586,0.0
358,290.397,100144.0,143.758,-0.106381,0.00257124,0.0
359,290.393,100144.0,143.758,-0.108352,0.00298387,0.0
360,290.389,100144.0,143.758,-0.110554,0.00340595,0.0
361,290.386,100144.0,143.758,-0.112982,0.00382964,0.0
362,290.383,100144.0,143.758,-0.115624,0.00424728,0.0
363,290.381,100144.0,143.758,-0.118466,0.00465159,0.0
364,290.378,100144.0,143.758,-0.121487,0.00503587,0.0
365,290.377,100144.0,143.758,-0.124667,0.00539415,0.0
366,290.375,100144.0,143.758,-0.127978,0.00572138,0.0
367,290.374,100144.0,143.758,-0.131394,0.0060135,0.0
368,290.374,100144.0,143.758,-0.134886,0.00626744,0.0
369,290.374,100144.0,143.758,-0.138423,0.0064811,0.0
370,290.374,100144.0,143.758,-0.141977,0.00665324,0.0
371,290.375,100144.0,143.758,-0.145517,0.00678327,0.0
372,290.377,100144.0,143.758,-0.149014,0.00687107,0.0
373,290.379,100144.0,143.757,-0.152439,0.00691662,0.0
374,290.381,100144.0,143.757,-0.155764,0.00691968,0.0
375,290.384,100144.0,143.757,-0.158962,0.00687942,0.0
376,290.387,100144.0,143.757,-0.162003,0.00679393,0.0
377,290.39,100144.0,143.757,-0.164858,0.00665972,0.0
378,290.394,100144.0,143.757,-0.167496,0.00647111,0.0
379,290.398,100144.0,143.757,-0.16988,0.00621947,0.0
380,290.402,100144.0,143.757,-0.171969,0.00589227,0.0
381,290.406,100144.0,143.758,-0.173713,0.00547188,0.0
